keypad	6	9	16	11	4	7	9	22	15	4
awar	11	10	13	4	8	11	11	15	4	8
alarm	5	10	10	15	6	12	11	13	21	7
common	11	12	9	10	5	13	13	10	12	7
chose	10	7	8	11	11	11	7	9	11	11
fm	0	5	10	17	15	0	8	12	20	15
ui	8	5	2	20	12	11	7	2	30	16
hot	10	8	8	12	9	10	8	9	12	9
indic	8	15	11	11	2	8	19	15	13	2
describ	14	9	5	10	9	15	10	7	11	10
futur	6	13	6	10	11	6	13	8	11	11
depend	6	5	9	15	12	6	6	10	16	13
solv	11	8	7	10	11	14	8	8	11	12
usabl	6	13	10	8	10	6	13	13	8	12
continu	13	8	7	7	12	13	9	9	7	12
buyer	21	9	14	2	2	25	9	16	2	2
band	3	5	15	14	11	7	6	23	24	13
ear	9	10	7	19	3	9	11	7	26	3
pull	4	14	8	13	9	4	17	10	15	10
separ	7	4	14	12	11	8	4	14	14	12
crap	25	7	6	1	9	36	8	7	1	10
stand	6	11	7	8	16	7	11	8	9	17
backup	3	5	6	25	9	3	5	9	30	12
glad	2	6	2	12	26	2	6	2	12	26
creat	7	6	9	15	11	9	6	10	16	12
room	6	7	9	13	14	6	11	9	13	14
meet	9	3	9	16	11	11	3	9	17	11
rememb	2	6	11	13	17	2	7	12	16	17
lower	4	10	11	9	15	4	10	12	9	17
chanc	8	11	9	12	9	8	12	10	12	9
inspir	13	16	14	2	4	20	22	17	2	6
readi	7	8	7	15	12	7	8	7	15	14
crack	10	10	13	7	9	11	11	17	7	9
refus	15	15	6	8	5	18	16	6	8	5
junk	32	7	2	2	6	37	8	2	2	6
true	7	8	7	13	12	7	8	8	19	17
plenti	3	3	5	14	25	3	3	6	15	30
descript	16	14	11	4	5	17	16	14	8	6
speakerphon	2	14	10	18	6	2	17	12	20	7
avoid	11	13	5	16	5	12	14	5	18	6
inexpens	6	3	7	17	17	6	3	8	18	23
term	4	11	5	14	16	5	11	5	17	16
afford	3	5	8	13	20	3	6	10	15	25
bloatwar	0	2	8	16	24	0	2	10	17	31
expand	2	3	6	15	24	2	3	6	16	26
frequent	13	10	9	10	8	15	10	9	12	8
third	14	13	7	6	11	17	13	7	7	11
exampl	6	9	12	15	9	6	10	13	18	10
cellular	15	5	8	10	13	21	11	9	13	14
guy	9	10	10	12	9	9	12	11	14	9
bell	6	5	5	17	18	8	5	5	18	20
worri	4	6	6	16	19	4	7	6	19	20
slide	5	11	10	16	9	5	13	12	19	16
water	11	8	10	7	14	14	8	12	9	15
excit	15	20	4	6	6	16	21	6	6	6
info	4	11	13	13	10	5	12	13	17	11
tablet	4	2	7	11	27	4	2	11	13	36
spent	17	11	7	7	10	18	12	7	9	10
kid	6	7	12	12	15	7	7	14	16	22
convers	11	14	13	9	4	13	14	13	11	4
languag	8	9	9	13	13	9	12	11	16	14
purpos	4	14	13	14	7	4	16	14	15	7
fall	8	11	7	11	15	8	11	7	11	16
bare	11	18	10	9	5	12	18	10	9	5
default	6	8	7	20	12	6	11	10	26	14
s4	2	5	7	11	28	2	6	10	13	44
parti	16	7	11	5	14	17	7	13	6	14
weak	6	11	17	12	7	7	13	19	13	7
initi	10	9	10	14	10	10	10	10	16	10
click	10	12	14	10	7	15	14	15	14	9
ton	4	6	5	17	21	4	7	5	18	23
husband	8	6	8	11	20	10	6	9	14	22
exchang	14	17	13	7	2	15	19	15	10	2
singl	7	6	7	14	19	7	10	8	15	20
2g	6	8	19	16	5	7	9	31	18	5
honest	4	7	13	13	17	4	10	13	13	20
hd	2	8	9	15	20	2	10	11	19	25
negat	8	8	11	14	13	9	8	13	16	13
realiz	6	12	12	13	11	6	12	13	13	12
comment	5	12	9	14	13	6	14	10	15	15
imag	5	9	6	12	22	8	9	7	12	28
minor	1	7	8	25	13	1	7	8	27	13
prefer	3	4	13	21	13	3	4	13	24	14
posit	9	10	10	12	13	9	11	11	16	13
bug	13	9	11	12	9	17	10	15	15	11
entir	12	12	11	11	9	14	12	11	11	9
forc	15	9	8	15	8	19	9	8	16	9
daughter	10	5	3	11	26	14	5	3	12	31
idea	13	13	8	13	8	14	14	9	14	8
usa	16	9	12	9	9	22	10	16	11	14
bother	14	10	9	14	8	14	11	10	15	8
